,index,product,category,sub_category,brand,sale_price,market_price,type,rating,description
19307,19308,Everyday Storage Container With Lid - Assorted Colour,Cleaning & Household,Bins & Bathroom Ware,Nakoda,434.0,434.0,"Laundry, Storage Baskets",5.0,"Multipurpose container with an attractive design and made from food-grade plastic for your hygiene and safety ideal for storing flour, wheat, pulses, rice and more with easy opening and closing lid.Strong, durable and transparent body for longevity and easy identification of contents. Multipurpose storage solution for your daily needs stores your everyday food essentials in style with the Nakoda container set. With transparent bodies, you can easily identify your stored items without having to open the lids. This container are ideal for storing a large variety of items such as food grains, snacks and pulses to sugar, spices, condiments and more. Featuring unique locking lids, you can easily open and close this container without any hassles.
The Nakoda container are made from high-quality food-grade and BPA-free plastic that is 100% safe for storing food items. You can safely store your food items in this container without worrying about contamination and harmful toxins. As they are constructed using highly durable virgin plastic, this container will last for a long time even with regular use. This container can enhance the overall look of your kitchen decor. Being dishwasher safe, cleaning and maintaining this container is an easy task. You can also use a simple soap solution to manually wash and retain their looks for a long time."
20084,20085,"Multi-Purpose Tray/Basket - Fruity, No 3, Peach, Alto, 14100-PH",Cleaning & Household,Bins & Bathroom Ware,Ratan,79.0,127.0,"Laundry, Storage Baskets",4.2,This tray is made of food-grade high-quality plastic and is strong and easy to use. It comes in a varied range of colours and designs.
20253,20254,"Plastic Cane Multi Purpose Basket - Medium, Assorted Colour",Cleaning & Household,Bins & Bathroom Ware,Flair,109.0,195.0,"Laundry, Storage Baskets",5.0,"This basket comes with a design that allows the air to pass through space. It is a strong & sturdy multipurpose use basket. Suitable for storing cosmetics, kitchen utensils, cleaning supplies for kids rooms and many more. It is simple and elegant- you can simply keep it on any flat surface to store anything in it."
21592,21593,"Multipurpose Plastic Basket - A5, Cream, Roya, 240 20CR",Cleaning & Household,Bins & Bathroom Ware,Ratan,99.0,139.0,"Laundry, Storage Baskets",4.3,These are multipurpose baskets that are sturdy and easy to handle. These are easy to carry and are perfect to keep your home or office clean. These can also be used as a dustbin to keep the place free from scrap. Use it anywhere in your house or in the office as per your need to keep the area scrap-free.
22014,22015,"Multi-Purpose Plastic Basket/Tray - Fruity, No 3 Pink, Alto, 14100-PK",Cleaning & Household,Bins & Bathroom Ware,Ratan,79.0,127.0,"Laundry, Storage Baskets",4.5,This tray is made of food-grade high-quality plastic and is strong and easy to use. It comes in a varied range of colours and designs.
22732,22733,"Clothes Storage Laundry Bag - Fabric, Cream, Crm BB 552",Cleaning & Household,Bins & Bathroom Ware,DP,639.0,650.0,"Laundry, Storage Baskets",4.7,"This cream coloured laundry bag helps you sort laundry, toss stuff and clear the clutter from the room. The cubical laundry bag is made using washable fabric with printed leaves all over the body. The bag is lightweight, durable and comes with two handles to make the bag easy to carry. It can fit all the dirty clothes. Alternatively, the bag may be used to keep other things such as toys. It helps keep your home free from mess."
22915,22916,"Clothes Storage Laundry Bag - Blue, BB-558BL",Cleaning & Household,Bins & Bathroom Ware,DP,549.0,558.0,"Laundry, Storage Baskets",4.2,"This blue coloured laundry bag helps you sort laundry, toss stuff and clear the clutter from the room. The bag is cylindrical. This laundry bag is made using washable fabric. The bag is lightweight, durable and easy to carry. It can fit all the dirty clothes or use it to keep other things like toys. The bag is excellent to keep your room organised."
23473,23474,"Plastic Basket Fruit & Vegetable Colander/Strainer - Small, Blue, Deluxe, 13220 OI",Cleaning & Household,Bins & Bathroom Ware,Ratan,49.0,75.0,"Laundry, Storage Baskets",4.3,Use this perforated bowl to strain off the liquid from the fruits and vegetables and other food items easily. It prevents the wastage of the food items while washing or cooking. These are made of high-quality food-grade plastic.
25659,25660,"Fruit & Vegetable Colander/Basket/Strainer - Medium, Red, Deluxe",Cleaning & Household,Bins & Bathroom Ware,Ratan,69.0,106.0,"Laundry, Storage Baskets",4.4,Use this perforated bowl to strain off the liquid from the fruits and vegetables and other food items easily. It prevents the wastage of the food items while washing or cooking. These are made of high-quality food grade plastic.
26243,26244,"Clothes-Storage-Laundry Bag, Fabric - Navy Blue & Off White, Leaf PrintN BlueÂ  BB 550",Cleaning & Household,Bins & Bathroom Ware,DP,299.0,350.0,"Laundry, Storage Baskets",4.3,"This cream coloured laundry bag helps you sort laundry, toss stuff and clear the clutter from the room. The cubical laundry bag is made using washable fabric with printed leaves all over the body. The bag is lightweight, durable and comes with two handles to make the bag easy to carry. It can fit all the dirty clothes. Alternatively, the bag may be used to keep other things such as toys. It helps keep your home free from mess."
