,index,product,category,sub_category,brand,sale_price,market_price,type,rating,description
20497,20498,"Bottle - Pet, Green, Solar","Kitchen, Garden & Pets",Storage & Accessories,Ratan,49.0,49.0,Water & Fridge Bottles,5.0,"These bottles are very lightweight yet strong and they come in different colours and designs. These are very easy to carry water or any liquids such as juices, tea, ice tea, etc."
20787,20788,"Stainless Steel Water Bottle - Red, BB 510 2","Kitchen, Garden & Pets",Storage & Accessories,DP,229.0,420.0,Water & Fridge Bottles,5.0,"This red coloured water bottle, made of stainless steel, is specially designed with a vacuum seal that prevents leakage. It is durable and lightweight. The slim design fits into most standard auto-cup holders, making it perfect for long car rides and bags. The wide mouth of the bottle helps easy filling and also fits ice cubes."
21170,21171,"Water Bottle - Twisty, Pink","Kitchen, Garden & Pets",Storage & Accessories,Cello,275.0,275.0,Water & Fridge Bottles,3.7,"A versatile and virtually liquid-tight bottle that makes storing cold beverages at home or outdoors easy. Ergonomically-designed, lightweight and compact. Bottle fits snugly in the refrigerator door pocket. Ideal to carry to the office, gym, and school with its stunning looks, this fridge bottle from Cello is a unique option to buy. Created from food grade PET material, these bottles are ideal for water storage. These water bottles are spill proof and its liquid tight Cap makes it rather convenient to carry it while on the go."
21508,21509,H2o Unbreakable Water Bottle - Orange,"Kitchen, Garden & Pets",Storage & Accessories,Cello,129.0,175.0,Water & Fridge Bottles,4.4,"The Cello H2O Unbreakable bottle is designed for versatility and high durability. The set is made to be the safest choice for you and your family as it is extremely hygienic and 100% food grade. These bottles are reusable, sturdy, portable and useful when it comes to storing beverages.Benefits: BPA free and leak proof Break proof and crystal clearHygienic and 100-per cent food-gradeFreezer safe"
21535,21536,"Glass Bottle Ombre Matt Finish - Blue, BB1321","Kitchen, Garden & Pets",Storage & Accessories,DP,249.0,459.0,Water & Fridge Bottles,5.0,"Carry this versatile and modish bottle whenever you go out. The bottle is made of glass, which is durable and is light in weight. The bottle's sleek design makes it fit anywhere in the backpack. It is ideal for students, travellers and people at the jobs. The wide mouth of the bottle makes it easy filling and prove to be perfect on the go bottle. It's perfect to store water, juices, etc."
22050,22051,"Glass Bottle With Plastic Outer - White, BB1314","Kitchen, Garden & Pets",Storage & Accessories,DP,179.0,329.0,Water & Fridge Bottles,4.5,"Drink water or any other beverage conveniently in this stunning bottle. The trendy design of the bottle is made using high-quality plastic, whereas, the inner part is composed of glass to keep your drink chilled or hot. The wide mouth allows easy drinking without spilling; while the sleek design fits easily anywhere in the bag."
22280,22281,Glass Water Bottle - Circo Multicolour Flowers,"Kitchen, Garden & Pets",Storage & Accessories,Cello,309.0,365.0,Water & Fridge Bottles,4.0,"A cheerful pattern that adorns this brightly hued glass bottle. Bring home the colourful eccentricity of these Italian milk and water bottle for a pleasing sip each time as they are airtight. This serves as an ideal way to store milk, water, juices or just for decorative pieces."
22428,22429,"Water Bottle - Fridge, Tulip, Purple","Kitchen, Garden & Pets",Storage & Accessories,Cello,137.0,137.0,Water & Fridge Bottles,4.0,Cello Tulip fridge bottle is manufactured by Japanese technology and BPA free makes these bottles safe for all beverages. It is beautiful floral designs will make your fridge look prettier. It is made of non-toxic plastic that ensures hygienic drinking. The bottle is light in weight and durable and its sleek design will attracts everyone's attention. It fits snugly in your refrigerator door pockets also one can carry it at the time of travelling as it is light weight and can easily accommodate in a bag. It is available in many attractive colours.
22455,22456,"Bottle - Pet, Pink, Solar","Kitchen, Garden & Pets",Storage & Accessories,Ratan,49.0,49.0,Water & Fridge Bottles,4.0,"These bottles are very lightweight yet strong and they come in different colours and designs. These are very easy to carry water or any liquids such as juices, tea, ice tea, etc."
22567,22568,Double Walled Glass Bottle With Gray Cap - BB1243GRAY,"Kitchen, Garden & Pets",Storage & Accessories,DP,349.0,679.0,Water & Fridge Bottles,5.0,Redefine the experience of enjoying various beverages in this captivating looking bottles. The bottle is created using high-quality glass that ensures a classy finish and also offers to be durable yet lightweight features a sleek design that can be fitted anywhere easily. It is hygienic and boasts easy to hold design. Carry anywhere and everywhere with all convenience.
23468,23469,Pacific PET Fridge Plastic Water Bottle - Red,"Kitchen, Garden & Pets",Storage & Accessories,Milton,29.0,45.0,Water & Fridge Bottles,4.3,"Combat dehydration with Milton's reusable, durable PET bottles. It is ideal for daily use at home, office or while travelling. It has an ergonomic shape with narrow-mouthed for easy sipping. It is made from hygienic and odour-free materials and is available in 4 colours."
23930,23931,Solitaire Premium Pet Water Bottle - Grey,"Kitchen, Garden & Pets",Storage & Accessories,Steelo,289.0,823.0,Water & Fridge Bottles,4.4,This Steelo Bottle is made of 100% food-grade PET plastic that helps you store water and juices in a safe way. The set is made to be the safest choice for you and your family as it is extremely hygienic and 100% food grade.Benefits : Break and leak proof and crystal clearHygienic and 100-per cent food gradeFreezer safe
24416,24417,"Stainless Steel Water Bottle - Silver, BB 492 1","Kitchen, Garden & Pets",Storage & Accessories,DP,239.0,509.0,Water & Fridge Bottles,4.0,"This silver coloured water bottle, made of stainless steel, is specially designed with a vacuum seal that prevents leakage. It is durable and lightweight. The slim design fits into most standard auto cup holders, making it perfect for long car rides and bags. The wide mouth of the bottle helps easy filling and also fits ice cubes."
